id,train_or_test,length,Title,Author,date,lang,date-bucket,length-log,the,and,of,to,in,that,a,is,it,be
0,test,32055,"The brides ornaments viz. five meditations, moral and divine. 1. Knowledge, 2. zeal, 3. temperance, 4. bounty, 5. joy.","Aylett, Robert, 1583-1655?",1625,English,1600-1629,10,0.03194509436905319,0.038309156137888004,0.021338324754328498,0.028919045390734675,0.016908438621119952,0.012384963344252067,0.007299953205428171,0.010294805802526907,0.004585868039307441,0.005303384807362346
1,test,14500,"A sermon preached at Paules-Crosse the second day of June, being the last Sunday in Easter term. 1622. By Thomas Ailesbury student in divinity","Ailesbury, Thomas, fl. 1622-1659.",1623,English,1600-1629,9,0.06717241379310344,0.028413793103448277,0.026482758620689655,0.02186206896551724,0.023517241379310345,0.017448275862068967,0.01213793103448276,0.014275862068965518,0.00903448275862069,0.012275862068965518
2,train,16506,"Thrifts equipage Viz. five divine and moral meditations, of 1. Frugalitie. 2. Providence. 3. Diligence. 4. Labor and care. 5. Death.","Aylett, Robert, 1583-1655?",1622,English,1600-1629,9,0.03150369562583303,0.03798618684114868,0.020174482006543076,0.029686174724342665,0.01660002423361202,0.013389070640979038,0.009814612868047983,0.010359869138495093,0.0038167938931297713,0.005876650914818854
3,test,1532,"Articles to be enquired in the visitation, in the first year of the reign of our most dread sovereign lady Elizabeth, by the grace of God, of England, France, and Irelande, Queen, defendour of the faith, &c., anno 1559",Church of England.,1568,English,1550-1599,7,0.06527415143603134,0.054177545691906005,0.04308093994778068,0.024804177545691905,0.024804177545691905,0.006527415143603133,0.005221932114882507,0.0032637075718015664,0.0006527415143603133,0.013054830287206266
4,test,3988,"Articles to be ministered, enquired of, and answered in the visitation of the Right Worshipful James Hussy, doctor of the civil law and commissarie general to the Most Reverend Father in God the Lord Archbishop of Canterbury his grace within the city and diocese of Cant.","Church of England. Diocese of Canterbury.; Hussy, James.; Church of England. Province of Canterbury. Archbishop (1611-1633 : Abbot)",1619,English,1600-1629,8,0.06318956870611836,0.04714142427281846,0.038365095285857576,0.028585757271815445,0.025827482447342027,0.009277833500501504,0.007021063189568706,0.009779338014042127,0.0005015045135406219,0.009277833500501504
5,test,4264,"Articles to be enquired of in the general visitation of the right worshipful M. Robert White, Bachelour in Divinity, Archdeacon of Norfolk, anno Domini 163[3?]","Church of England. Archdeaconry of Norfolk.; White, Robert, Archdeacon of Norfolk.",1633,English,1630-1641,8,0.0675422138836773,0.0424484052532833,0.040337711069418386,0.021106941838649154,0.02673545966228893,0.009146341463414634,0.00797373358348968,0.008442776735459663,0.0011726078799249532,0.0053939962476547846
6,test,235,"Articles to be inquired of in the visitation to be had in the byshopricke of Norwyche, now vacant in the fourth year of our most drad souerayn lord Edward the sixte ... by the most Reverend father in God, Thomas Archebyshop of Cantorbery, prymate of all England and metropolitan.; Visitation articles. 1549","Church of England. Diocese of Norwich.; Cranmer, Thomas, 1489-1556.; Church of England. Province of Canterbury. Archbishop (1533-1556 : Cranmer)",1549,English,1470-1549,5,0.08936170212765958,0.05106382978723405,0.08936170212765958,0.03404255319148936,0.029787234042553193,0.00851063829787234,0.0,0.0,0.0,0.01702127659574468
7,train,235,"Articles to be inquired of in the visitation to be had in the byshopricke of Norwyche, now vacant in the fourth year of our most drad souerayn lord Edward the sixte ... by the most Reverend father in God, Thomas Archebyshop of Cantorbery, prymate of all England and metropolitan.; Visitation articles. 1549","Church of England. Diocese of Norwich.; Cranmer, Thomas, 1489-1556.; Church of England. Province of Canterbury. Archbishop (1533-1556 : Cranmer)",1549,English,1470-1549,5,0.08936170212765958,0.05106382978723405,0.08936170212765958,0.03404255319148936,0.029787234042553193,0.00851063829787234,0.0,0.0,0.0,0.01702127659574468
8,train,10695,A brief and plain declaracion of certain sente[n]ces in this little book following to satisfy the consciences of them that have judged me thereby to be a favorer of the Anabaptists.; Brife and faithful declaration of the true faith of Christ,"I. B., fl. 1547.; Bale, John, 1495-1563, attributed author.; Bradford, John, 1510?-1555, attributed author.",1547,English,1470-1549,9,0.06928471248246845,0.043478260869565216,0.04441327723235157,0.019261337073398787,0.013931743805516598,0.02945301542776999,0.010098176718092567,0.017110799438990184,0.00785413744740533,0.015053763440860216
9,train,13661,"Injunctions given by the most reverend father in Christ, Edmonde by the providence of God, Archbishop of York primate of England, and Metropolitan, in his Metropoliticall visitation of the province of York, as well to the clergy, as to the laytie of the same province. Anno do. 1571.; Visitation articles. 1571","Church of England. Province of York. Archbishop (1570-1576 : Grindal); Grindal, Edmund, 1519?-1583.",1571,English,1550-1599,9,0.0739330942097943,0.05255837786399238,0.04487226410950882,0.027230803015884635,0.021521118512553984,0.013542200424566282,0.005124075836322377,0.0040992606690579015,0.0009516140838884415,0.017787863260376253
