id,actual,RandForest,RandForest-Bal
0,False,0.34,0.38
1,False,0.47,0.56
2,False,0.18,0.18
3,False,0.64,0.69
4,False,0.66,0.69
5,False,0.7,0.7
6,False,0.21,0.29
7,False,0.21,0.29
8,False,0.08,0.11
9,False,0.19,0.23
10,False,0.55,0.67
11,False,0.36,0.45
12,False,0.35,0.31
13,False,0.59,0.64
14,False,0.18,0.19
15,False,0.22,0.2
16,False,0.37,0.39
17,False,0.17,0.31
18,False,0.43,0.54
19,False,0.39,0.48
20,False,0.17,0.11
21,False,0.17,0.22
22,False,0.63,0.75
23,False,0.17,0.13
24,False,0.28,0.27
25,False,0.76,0.75
26,False,0.39,0.4
27,False,0.11,0.13
28,False,0.65,0.75
29,False,0.29,0.22
30,False,0.18,0.18
31,False,0.44,0.42
32,False,0.35,0.44
33,False,0.43,0.46
34,False,0.22,0.26
35,False,0.12,0.2
36,False,0.44,0.43
37,False,0.52,0.6
38,False,0.4,0.28
39,False,0.18,0.17
40,False,0.18,0.17
41,False,0.13,0.08
42,False,0.19,0.23
43,False,0.66,0.64
44,False,0.24,0.23
45,False,0.6,0.78
46,False,0.18,0.15
47,False,0.19,0.29
48,False,0.67,0.78
49,False,0.24,0.21
50,False,0.22,0.18
51,False,0.61,0.59
52,False,0.3,0.18
53,False,0.49,0.58
54,False,0.21,0.27
55,False,0.47,0.47
56,False,0.05,0.05
57,False,0.05,0.05
58,False,0.27,0.3
59,False,0.18,0.13
60,False,0.24,0.23
61,False,0.21,0.24
62,False,0.21,0.24
63,False,0.45,0.58
64,False,0.17,0.15
65,False,0.49,0.47
66,False,0.18,0.19
67,False,0.21,0.18
68,False,0.24,0.14
69,False,0.18,0.12
70,False,0.14,0.14
71,False,0.11,0.12
72,False,0.15,0.15
73,False,0.47,0.35
74,False,0.16,0.18
75,False,0.58,0.54
76,False,0.61,0.65
77,False,0.24,0.23
78,False,0.07,0.15
79,False,0.32,0.19
80,False,0.53,0.42
81,False,0.32,0.26
82,False,0.31,0.52
83,False,0.32,0.29
84,False,0.26,0.28
85,False,0.2,0.3
86,False,0.23,0.23
87,False,0.12,0.1
88,False,0.14,0.07
89,False,0.19,0.24
90,False,0.12,0.12
91,False,0.27,0.31
92,False,0.28,0.23
93,False,0.14,0.15
94,False,0.16,0.13
95,False,0.61,0.69
96,False,0.62,0.64
97,False,0.6,0.7
98,False,0.13,0.15
99,False,0.24,0.43
100,False,0.13,0.08
101,False,0.38,0.27
102,False,0.2,0.14
103,False,0.49,0.66
104,False,0.22,0.26
105,False,0.64,0.58
106,False,0.39,0.36
107,False,0.52,0.44
108,False,0.53,0.55
109,False,0.41,0.5
110,False,0.64,0.67
111,False,0.2,0.21
112,False,0.44,0.4
113,False,0.13,0.14
114,False,0.13,0.14
115,False,0.59,0.57
116,False,0.25,0.2
117,False,0.7,0.82
118,False,0.56,0.58
119,False,0.36,0.42
120,False,0.18,0.17
121,False,0.22,0.22
122,False,0.15,0.19
123,False,0.63,0.66
124,False,0.31,0.31
125,False,0.57,0.68
126,False,0.12,0.19
127,False,0.61,0.58
128,False,0.17,0.21
129,False,0.06,0.07
130,False,0.06,0.07
131,False,0.33,0.45
132,False,0.24,0.23
133,False,0.11,0.11
134,False,0.2,0.1
135,False,0.68,0.77
136,False,0.16,0.2
137,False,0.7,0.74
138,False,0.44,0.48
139,False,0.29,0.18
140,False,0.06,0.05
141,False,0.15,0.08
142,False,0.06,0.06
143,False,0.37,0.31
144,False,0.22,0.2
145,False,0.24,0.18
146,False,0.33,0.38
147,False,0.29,0.3
148,False,0.53,0.5
149,False,0.14,0.14
150,False,0.18,0.23
151,False,0.4,0.45
152,False,0.19,0.17
153,False,0.62,0.61
154,False,0.72,0.59
155,False,0.43,0.57
156,False,0.22,0.23
157,False,0.23,0.22
158,False,0.2,0.24
159,False,0.15,0.22
160,False,0.16,0.19
161,False,0.57,0.44
162,False,0.26,0.28
163,False,0.69,0.73
164,False,0.32,0.44
165,False,0.25,0.19
166,False,0.18,0.17
167,False,0.36,0.5
168,False,0.36,0.5
169,False,0.57,0.6
170,False,0.6,0.6
171,False,0.14,0.17
172,False,0.53,0.48
173,False,0.22,0.21
174,False,0.51,0.63
175,False,0.25,0.28
176,False,0.1,0.01
177,False,0.41,0.44
178,False,0.62,0.66
179,False,0.41,0.35
180,False,0.53,0.58
181,False,0.24,0.09
182,False,0.24,0.22
183,False,0.75,0.77
184,False,0.23,0.13
185,False,0.65,0.69
186,False,0.36,0.3
187,False,0.33,0.21
188,False,0.19,0.1
189,False,0.29,0.36
190,False,0.12,0.22
191,False,0.07,0.19
192,False,0.29,0.21
193,False,0.44,0.57
194,False,0.21,0.22
195,False,0.33,0.35
196,False,0.46,0.44
197,False,0.37,0.4
198,False,0.6,0.62
199,False,0.32,0.33
200,False,0.23,0.32
201,False,0.23,0.28
202,False,0.23,0.28
203,False,0.48,0.44
204,False,0.67,0.66
205,False,0.23,0.4
206,False,0.58,0.59
207,False,0.73,0.71
208,False,0.56,0.51
209,False,0.52,0.55
210,False,0.22,0.25
211,False,0.46,0.49
212,False,0.33,0.3
213,False,0.12,0.22
214,False,0.65,0.69
215,False,0.39,0.47
216,False,0.13,0.17
217,False,0.09,0.07
218,False,0.14,0.23
219,False,0.44,0.28
220,False,0.41,0.32
221,False,0.34,0.32
222,False,0.17,0.13
223,False,0.75,0.71
224,False,0.53,0.56
225,False,0.22,0.24
226,False,0.24,0.23
227,False,0.24,0.29
228,False,0.07,0.07
229,False,0.07,0.07
230,False,0.63,0.71
231,False,0.18,0.18
232,False,0.38,0.38
233,False,0.49,0.33
234,False,0.56,0.61
235,False,0.58,0.55
236,False,0.75,0.87
237,False,0.18,0.14
238,False,0.7,0.73
239,False,0.68,0.57
240,False,0.68,0.57
241,False,0.26,0.33
242,False,0.46,0.59
243,False,0.12,0.12
244,False,0.37,0.41
245,False,0.3,0.37
246,False,0.18,0.23
247,False,0.39,0.43
248,False,0.38,0.42
249,False,0.1,0.09
250,False,0.1,0.07
251,False,0.44,0.5
252,False,0.31,0.35
253,False,0.29,0.22
254,False,0.12,0.11
255,False,0.45,0.57
256,False,0.74,0.73
257,False,0.5,0.44
258,False,0.54,0.59
259,False,0.58,0.65
260,False,0.04,0.14
261,False,0.14,0.15
262,False,0.15,0.14
263,False,0.18,0.25
264,False,0.37,0.42
265,False,0.21,0.24
266,False,0.25,0.26
267,False,0.63,0.57
268,False,0.72,0.73
269,False,0.26,0.22
270,False,0.43,0.38
271,False,0.46,0.41
272,False,0.18,0.18
273,False,0.16,0.18
274,False,0.16,0.16
275,False,0.16,0.05
276,False,0.25,0.23
277,False,0.22,0.25
278,False,0.05,0.08
279,False,0.33,0.38
280,False,0.59,0.61
281,False,0.1,0.18
282,False,0.23,0.19
283,False,0.68,0.72
284,False,0.31,0.31
285,False,0.16,0.2
286,False,0.16,0.2
287,False,0.27,0.2
288,False,0.17,0.13
289,False,0.08,0.05
290,False,0.08,0.05
291,False,0.2,0.19
292,False,0.17,0.14
293,False,0.66,0.68
294,False,0.26,0.28
295,False,0.23,0.21
296,False,0.12,0.12
297,False,0.77,0.8
298,False,0.31,0.23
299,False,0.07,0.16
300,False,0.09,0.18
301,False,0.59,0.54
302,False,0.59,0.54
303,False,0.14,0.1
304,False,0.6,0.59
305,False,0.09,0.06
306,False,0.14,0.09
307,False,0.14,0.09
308,False,0.45,0.42
309,False,0.16,0.36
310,False,0.16,0.36
311,False,0.59,0.6
312,False,0.15,0.16
313,False,0.2,0.28
314,False,0.27,0.2
315,False,0.42,0.41
316,False,0.16,0.08
317,False,0.33,0.24
318,False,0.2,0.22
319,False,0.14,0.26
320,False,0.11,0.17
321,False,0.16,0.13
322,False,0.17,0.25
323,False,0.72,0.65
324,False,0.19,0.12
325,False,0.29,0.36
326,False,0.2,0.11
327,False,0.64,0.67
328,False,0.2,0.21
329,False,0.32,0.19
330,False,0.3,0.21
331,False,0.58,0.53
332,False,0.48,0.48
333,False,0.49,0.54
334,False,0.17,0.2
335,False,0.11,0.07
336,False,0.59,0.36
337,False,0.27,0.2
338,False,0.54,0.53
339,False,0.65,0.65
340,False,0.55,0.52
341,False,0.17,0.3
342,False,0.57,0.73
343,False,0.23,0.4
344,False,0.22,0.27
345,False,0.33,0.26
346,False,0.42,0.46
347,False,0.64,0.48
348,False,0.67,0.66
349,False,0.36,0.23
350,False,0.16,0.19
351,False,0.28,0.26
352,False,0.12,0.16
353,False,0.65,0.6
354,False,0.58,0.73
355,False,0.56,0.49
356,False,0.25,0.24
357,False,0.73,0.77
358,False,0.52,0.6
359,False,0.12,0.09
360,False,0.25,0.23
361,False,0.5,0.39
362,False,0.27,0.16
363,False,0.59,0.64
364,False,0.69,0.82
365,False,0.14,0.1
366,False,0.45,0.49
367,False,0.51,0.49
368,False,0.18,0.21
369,False,0.24,0.27
370,False,0.24,0.17
371,False,0.56,0.52
372,False,0.75,0.85
373,False,0.24,0.2
374,False,0.18,0.15
375,False,0.12,0.15
376,False,0.15,0.19
377,False,0.21,0.18
378,False,0.17,0.13
379,False,0.61,0.63
380,False,0.75,0.77
381,False,0.24,0.22
382,False,0.21,0.26
383,False,0.15,0.26
384,False,0.32,0.38
385,False,0.09,0.09
386,False,0.2,0.17
387,False,0.1,0.09
388,False,0.15,0.16
389,False,0.16,0.22
390,False,0.36,0.38
391,False,0.18,0.19
392,False,0.51,0.48
393,False,0.16,0.22
394,False,0.36,0.2
395,False,0.16,0.14
396,False,0.45,0.62
397,False,0.74,0.78
398,False,0.14,0.21
399,False,0.29,0.21
400,False,0.55,0.56
401,False,0.72,0.67
402,False,0.66,0.68
403,False,0.28,0.27
404,False,0.2,0.2
405,False,0.35,0.26
406,False,0.41,0.3
407,False,0.68,0.64
408,False,0.25,0.36
409,False,0.11,0.19
410,False,0.63,0.68
411,False,0.47,0.4
412,False,0.74,0.73
413,False,0.24,0.28
414,False,0.24,0.28
415,False,0.71,0.79
416,False,0.61,0.53
417,False,0.7,0.75
418,False,0.22,0.19
419,False,0.25,0.29
420,False,0.26,0.29
421,False,0.16,0.14
422,False,0.65,0.64
423,False,0.12,0.14
424,False,0.29,0.3
425,False,0.71,0.74
426,False,0.58,0.59
427,False,0.37,0.44
428,False,0.65,0.7
429,False,0.13,0.09
430,False,0.39,0.47
431,False,0.27,0.26
432,False,0.19,0.25
433,False,0.39,0.43
434,False,0.12,0.08
435,False,0.15,0.12
436,False,0.17,0.22
437,False,0.11,0.17
438,False,0.27,0.26
439,False,0.13,0.11
440,False,0.13,0.16
441,False,0.48,0.57
442,False,0.28,0.34
443,False,0.85,0.83
444,False,0.09,0.11
445,False,0.11,0.11
446,False,0.42,0.43
447,False,0.69,0.67
448,False,0.11,0.16
449,False,0.51,0.46
450,False,0.17,0.23
451,False,0.61,0.55
452,False,0.26,0.28
453,False,0.54,0.66
454,False,0.44,0.39
455,False,0.56,0.49
456,False,0.08,0.11
457,False,0.33,0.26
458,False,0.56,0.51
459,False,0.1,0.17
460,False,0.17,0.16
461,False,0.82,0.65
462,False,0.43,0.5
463,False,0.54,0.52
464,False,0.53,0.72
465,False,0.23,0.23
466,False,0.3,0.37
467,False,0.43,0.48
468,False,0.52,0.61
469,False,0.19,0.11
470,False,0.19,0.11
471,False,0.2,0.2
472,False,0.46,0.44
473,False,0.41,0.43
474,False,0.56,0.68
475,False,0.44,0.44
476,False,0.15,0.09
477,False,0.38,0.41
478,False,0.08,0.08
479,False,0.2,0.19
480,False,0.58,0.65
481,False,0.43,0.43
482,False,0.66,0.76
483,False,0.68,0.74
484,False,0.24,0.2
485,False,0.75,0.77
486,False,0.67,0.74
487,False,0.66,0.65
488,False,0.22,0.24
489,False,0.19,0.11
490,False,0.73,0.72
491,False,0.34,0.21
492,False,0.21,0.15
493,False,0.58,0.59
494,False,0.11,0.2
495,False,0.33,0.32
496,False,0.48,0.43
497,False,0.16,0.13
498,False,0.19,0.17
499,False,0.25,0.24
500,False,0.6,0.54
501,False,0.71,0.8
502,False,0.16,0.19
503,False,0.73,0.64
504,False,0.76,0.78
505,False,0.31,0.17
506,False,0.4,0.38
507,False,0.27,0.37
508,False,0.27,0.37
509,False,0.15,0.13
510,False,0.22,0.19
511,False,0.63,0.67
512,False,0.14,0.06
513,False,0.68,0.66
514,False,0.22,0.32
515,False,0.54,0.55
516,False,0.33,0.32
517,False,0.18,0.24
518,False,0.63,0.73
519,False,0.61,0.65
520,False,0.2,0.16
521,False,0.2,0.22
522,False,0.39,0.44
523,False,0.07,0.08
524,False,0.64,0.74
525,False,0.59,0.59
526,False,0.18,0.12
527,False,0.21,0.19
528,False,0.16,0.22
529,False,0.22,0.23
530,False,0.25,0.28
531,False,0.22,0.19
532,False,0.09,0.06
533,False,0.04,0.08
534,False,0.08,0.05
535,False,0.55,0.64
536,False,0.42,0.26
537,False,0.73,0.78
538,False,0.12,0.19
539,False,0.27,0.34
540,False,0.66,0.63
541,False,0.3,0.3
542,False,0.62,0.53
543,False,0.34,0.27
544,False,0.2,0.17
545,False,0.16,0.13
546,False,0.47,0.55
547,False,0.6,0.49
548,False,0.16,0.27
549,False,0.46,0.45
550,False,0.14,0.06
551,False,0.14,0.06
552,False,0.12,0.24
553,False,0.23,0.27
554,False,0.28,0.28
555,False,0.63,0.7
556,False,0.14,0.1
557,False,0.46,0.66
558,False,0.25,0.24
559,False,0.33,0.35
560,False,0.11,0.11
561,False,0.11,0.11
562,False,0.31,0.4
563,False,0.33,0.42
564,False,0.13,0.17
565,False,0.33,0.3
566,False,0.07,0.1
567,False,0.08,0.13
568,False,0.2,0.22
569,False,0.3,0.29
570,False,0.16,0.19
571,False,0.3,0.33
572,False,0.47,0.5
573,False,0.16,0.18
574,False,0.75,0.87
575,False,0.21,0.23
576,False,0.61,0.68
577,False,0.54,0.44
578,False,0.14,0.18
579,False,0.32,0.33
580,False,0.22,0.2
581,False,0.25,0.25
582,False,0.59,0.59
583,False,0.12,0.12
584,False,0.25,0.23
585,False,0.62,0.69
586,False,0.23,0.26
587,False,0.31,0.27
588,False,0.22,0.27
589,False,0.28,0.31
590,False,0.34,0.31
591,False,0.24,0.28
592,False,0.23,0.26
593,False,0.1,0.16
594,False,0.39,0.35
595,False,0.2,0.16
596,False,0.18,0.21
597,False,0.47,0.4
598,False,0.15,0.2
599,False,0.63,0.63
600,False,0.18,0.18
601,False,0.21,0.21
602,False,0.18,0.17
603,False,0.16,0.23
604,False,0.16,0.26
605,False,0.28,0.32
606,False,0.51,0.4
607,False,0.13,0.18
608,False,0.61,0.64
609,False,0.74,0.82
610,False,0.47,0.47
611,False,0.19,0.17
612,False,0.57,0.63
613,False,0.22,0.26
614,False,0.59,0.61
615,False,0.31,0.19
616,False,0.45,0.57
617,False,0.13,0.19
618,False,0.4,0.25
619,False,0.2,0.15
620,False,0.21,0.24
621,False,0.51,0.58
622,False,0.24,0.16
623,False,0.09,0.09
624,False,0.12,0.13
625,False,0.06,0.05
626,False,0.28,0.17
627,False,0.47,0.58
628,False,0.64,0.5
629,False,0.4,0.4
630,False,0.24,0.26
631,False,0.55,0.54
632,False,0.05,0.03
633,False,0.05,0.03
634,False,0.07,0.12
635,False,0.12,0.1
636,False,0.08,0.09
637,False,0.26,0.24
638,False,0.26,0.3
639,False,0.46,0.52
640,False,0.46,0.48
641,False,0.15,0.16
642,False,0.09,0.09
643,False,0.38,0.4
644,False,0.69,0.8
645,False,0.29,0.24
646,False,0.56,0.57
647,False,0.55,0.53
648,False,0.2,0.16
649,False,0.23,0.16
650,False,0.19,0.2
651,False,0.17,0.16
652,False,0.18,0.2
653,False,0.64,0.79
654,False,0.2,0.18
655,False,0.23,0.12
656,False,0.71,0.76
657,False,0.64,0.7
658,False,0.12,0.1
659,False,0.15,0.11
660,False,0.15,0.11
661,False,0.13,0.2
662,False,0.06,0.1
663,False,0.06,0.1
664,False,0.26,0.29
665,False,0.19,0.18
666,False,0.7,0.64
667,False,0.25,0.24
668,False,0.21,0.28
669,False,0.06,0.09
670,False,0.4,0.55
671,False,0.28,0.22
672,False,0.15,0.12
673,False,0.43,0.55
674,False,0.37,0.44
675,False,0.41,0.36
676,False,0.41,0.36
677,False,0.63,0.75
678,False,0.19,0.24
679,False,0.14,0.06
680,False,0.39,0.39
681,False,0.39,0.39
682,False,0.09,0.13
683,False,0.2,0.32
684,False,0.66,0.65
685,False,0.17,0.25
686,False,0.47,0.44
687,False,0.2,0.2
688,False,0.21,0.22
689,False,0.48,0.5
690,False,0.47,0.39
691,False,0.46,0.45
692,False,0.2,0.26
693,False,0.21,0.28
694,False,0.18,0.21
695,False,0.12,0.11
696,False,0.1,0.17
697,False,0.18,0.32
698,False,0.18,0.32
699,False,0.2,0.24
700,False,0.64,0.73
701,False,0.56,0.53
702,False,0.64,0.73
703,False,0.18,0.23
704,False,0.16,0.18
705,False,0.47,0.47
706,False,0.14,0.12
707,False,0.5,0.4
708,False,0.17,0.17
709,False,0.25,0.31
710,False,0.36,0.5
711,False,0.39,0.42
712,False,0.24,0.27
713,False,0.13,0.16
714,False,0.56,0.37
715,False,0.54,0.37
716,False,0.74,0.78
717,False,0.17,0.11
718,False,0.31,0.2
719,False,0.41,0.33
720,False,0.7,0.81
721,False,0.23,0.1
722,False,0.62,0.7
723,False,0.1,0.14
724,False,0.31,0.23
725,False,0.12,0.08
726,False,0.2,0.21
727,False,0.18,0.28
728,False,0.25,0.24
729,False,0.58,0.45
730,False,0.78,0.69
731,False,0.24,0.25
732,False,0.11,0.06
